pollster,start_date,end_date,sample_size,sample_type,rep,dem,other,year,state
KSTP/SurveyUSA,2018/10/29,2018/10/31,600,LV,34,57,,2018,minnesota
Star Tribune/Mason-Dixon*,2018/10/15,2018/10/17,800,LV,33,56,,2018,minnesota
NBC News/Marist,2018/09/30,2018/10/04,637,LV,33,63,,2018,minnesota
Star Tribune/Mason-Dixon,2018/09/10,2018/09/12,800,LV,30,60,,2018,minnesota
KSTP/SurveyUSA,2018/09/06,2018/09/08,574,LV,38,53,,2018,minnesota
Suffolk*,2018/08/17,2018/08/20,500,LV,34,54,,2018,minnesota
Emerson,2018/08/08,2018/08/11,500,LV,26,50,,2018,minnesota
Salt Lake Tribune,2018/10/03,2018/10/09,607,RV,59,23,,2018,utah
UtahPolicy/Dan Jones*,2018/08/22,2018/08/31,809,LV,55,29,,2018,utah
Salt Lake Tribune/Dan Jones,2018/06/11,2018/06/18,654,RV,58,20,,2018,utah
UtahPolicy/Dan Jones*,2018/02/09,2018/02/16,609,RV,60,14,,2018,utah
Salt Lake Tribune/Dan Jones,2018/01/15,2018/01/18,803,RV,64,19,,2018,utah
UtahPolicy/Dan Jones,2017/08/30,2017/09/05,608,RV,64,26,,2018,utah
Trafalgar Group (R),2018/11/04,2018/11/05,1217,LV,47,45,,2018,arizona
ABC 15/OH Predictive Insights*,2018/11/02,2018/11/03,631,LV,49,48,,2018,arizona
HarrisX,2018/10/29,2018/11/04,1400,LV,48,45,,2018,arizona
Emerson*,2018/11/01,2018/11/03,758,LV,48,49,,2018,arizona
Gravis,2018/10/24,2018/11/02,1165,LV,47,46,,2018,arizona
FOX News,2018/10/27,2018/10/29,643,LV,46,46,,2018,arizona
HarrisX,2018/10/28,2018/11/03,1400,LV,49,43,,2018,arizona
Trafalgar Group (R),2018/10/30,2018/11/01,2166,LV,47,50,,2018,arizona
CNN,2018/10/24,2018/10/29,702,LV,47,51,,2018,arizona
NBC News/Marist,2018/10/23,2018/10/27,506,LV,44,50,,2018,arizona
CBS News/YouGov,2018/10/23,2018/10/26,972,LV,44,47,,2018,arizona
ABC 15/OH Predictive Insights*,2018/10/22,2018/10/23,600,LV,52,45,,2018,arizona
NY Times/Siena,2018/10/15,2018/10/19,606,LV,48,46,,2018,arizona
CBS News/YouGov,2018/10/02,2018/10/05,898,LV,44,47,,2018,arizona
ABC 15/OH Predictive Insights,2018/10/01,2018/10/02,600,LV,47,41,,2018,arizona
FOX News,2018/09/29,2018/10/02,716,LV,45,47,,2018,arizona
Suffolk*,2018/09/27,2018/09/30,500,LV,42,45,,2018,arizona
Emerson*,2018/09/19,2018/09/21,650,RV,39,45,,2018,arizona
NBC News/Marist,2018/09/16,2018/09/20,564,LV,45,48,,2018,arizona
CNN,2018/09/11,2018/09/15,761,LV,43,50,,2018,arizona
FOX News,2018/09/08,2018/09/11,710,LV,44,47,,2018,arizona
ABC 15/OH Predictive Insights,2018/09/05,2018/09/06,597,LV,49,46,,2018,arizona
Gravis,2018/09/05,2018/09/07,882,LV,49,48,,2018,arizona
ABC 15/OH Predictive Insights,2018/07/23,2018/07/25,600,LV,44,48,,2018,arizona
Gravis,2018/06/27,2018/07/02,925,LV,39,43,,2018,arizona
Emerson,2018/06/21,2018/06/22,650,RV,32,40,,2018,arizona
NBC News/Marist,2018/06/17,2018/06/21,839,RV,38,49,,2018,arizona
CBS News/YouGov,2018/06/19,2018/06/22,869,LV,37,45,,2018,arizona
ABC 15/OH Predictive Insights,2018/04/10,2018/04/11,600,LV,42,48,,2018,arizona
OH Predictive Insights,2017/11/09,2017/11/09,600,LV,45,46,,2018,arizona
Gravis,2018/10/29,2018/10/30,789,LV,37,46,,2018,ohio
Emerson,2018/10/26,2018/10/28,566,LV,43,49,,2018,ohio
Suffolk,2018/10/04,2018/10/08,500,LV,36,54,,2018,ohio
NBC News/Marist,2018/09/16,2018/09/20,564,LV,39,52,,2018,ohio
NBC News/Marist,2018/06/17,2018/06/21,778,RV,38,51,,2018,ohio
Quinnipiac,2018/06/07,2018/06/12,1082,RV,34,51,,2018,ohio
Suffolk,2018/06/06,2018/06/11,500,LV,37,53,,2018,ohio
WOIO-TV/SurveyUSA,2018/03/16,2018/03/20,1408,RV,38,52,,2018,ohio
Emerson,2018/10/28,2018/10/30,632,LV,52,44,,2018,tennessee
FOX News,2018/10/27,2018/10/30,718,LV,50,41,,2018,tennessee
CNN,2018/10/24,2018/10/29,764,LV,49,45,,2018,tennessee
East Tennessee State University,2018/10/22,2018/10/29,495,LV,44,44,,2018,tennessee
NBC News/Marist,2018/10/23,2018/10/27,471,LV,51,46,,2018,tennessee
Vanderbilt University,2018/10/08,2018/10/13,800,RV,43,44,,2018,tennessee
NY Times/Siena,2018/10/08,2018/10/11,593,LV,54,40,,2018,tennessee
CBS News/YouGov,2018/10/02,2018/10/05,871,LV,50,42,,2018,tennessee
FOX News,2018/09/29,2018/10/02,666,LV,48,43,,2018,tennessee
CNN,2018/09/11,2018/09/15,723,LV,45,50,,2018,tennessee
FOX News,2018/09/08,2018/09/11,686,LV,47,44,,2018,tennessee
NBC News/Marist,2018/08/25,2018/08/28,538,LV,46,48,,2018,tennessee
Gravis,2018/08/09,2018/08/11,620,LV,48,44,,2018,tennessee
Emerson,2018/07/11,2018/07/14,657,RV,37,43,,2018,tennessee
Mason-Dixon,2018/04/17,2018/04/19,625,RV,43,46,,2018,tennessee
Middle Tn. State Univ.,2018/03/22,2017/03/29,600,RV,35,45,,2018,tennessee
Gravis,2017/12/11,2017/12/12,563,RV,40,42,,2018,tennessee
KABC/SurveyUSA,2018/11/01,2018/11/05,806,LV,,36,,2018,california
Berkeley IGS,2018/10/19,2018/10/26,1339,LV,,36,,2018,california
Emerson*,2018/10/17,2018/10/19,671,LV,,23,,2018,california
PPIC,2018/10/12,2018/10/21,989,LV,,27,,2018,california
Stanford/YouGov,2018/10/10,2018/10/24,2178,RV,,29,,2018,california
KABC/SurveyUSA,2018/10/12,2018/10/14,762,LV,,26,,2018,california
LA Times/USC,2018/09/17,2018/10/14,794,LV,,31,,2018,california
PPIC,2018/09/09,2018/09/18,964,LV,,29,,2018,california
PPIC,2018/07/08,2018/07/17,1020,LV,,24,,2018,california
SurveyUSA,2018/06/26,2018/06/27,559,LV,,24,,2018,california
LA Times/USC,2018/06/06,2018/06/17,893,RV,,18,,2018,california
WBUR/MassINC*,2018/10/25,2018/10/28,502,LV,32,54,,2018,massachusetts
Boston Globe/Suffolk*,2018/10/24,2018/10/28,500,LV,34,56,,2018,massachusetts
Western NE University*,2018/10/10,2018/10/27,402,LV,27,57,,2018,massachusetts
UMass Lowell*,2018/10/01,2018/10/07,485,LV,31,56,,2018,massachusetts
WBUR/MassINC*,2018/09/17,2018/09/21,506,LV,30,56,,2018,massachusetts
Boston Globe/Suffolk*,2018/09/13,2018/09/17,500,LV,24,54,,2018,massachusetts
Boston Globe/Suffolk,2018/06/08,2018/06/12,500,LV,33,55,,2018,massachusetts
WBUR/MassINC*,2018/05/22,2018/05/26,501,RV,19,55,,2018,massachusetts
WBUR/MassINC*,2018/03/16,2018/03/18,504,RV,20,55,,2018,massachusetts
WBUR/MassINC*,2017/11/09,2017/11/12,504,RV,32,58,,2018,massachusetts
WBUR/MassINC,2017/06/19,2017/06/22,504,RV,29,60,,2018,massachusetts
Emerson,2018/11/01,2018/11/04,1197,LV,45,49,,2018,nevada
HarrisX,2018/10/29,2018/11/04,1400,LV,46,45,,2018,nevada
Trafalgar Group (R),2018/10/29,2018/11/01,2587,LV,49,46,,2018,nevada
HarrisX,2018/10/28,2018/11/03,1400,LV,45,45,,2018,nevada
CNN*,2018/10/24,2018/10/29,622,LV,45,48,,2018,nevada
Gravis,2018/10/24,2018/10/26,773,LV,45,47,,2018,nevada
Emerson*,2018/10/10,2018/10/12,625,LV,48,41,,2018,nevada
NY Times/Siena,2018/10/08,2018/10/10,642,LV,47,45,,2018,nevada
NBC News/Marist,2018/09/30,2018/10/03,574,LV,46,44,,2018,nevada
CNN*,2018/09/25,2018/09/29,693,LV,43,47,,2018,nevada
Gravis,2018/09/11,2018/09/12,700,LV,45,47,,2018,nevada
Suffolk*,2018/09/05,2018/09/10,500,LV,41,42,,2018,nevada
Suffolk*,2018/07/25,2018/07/29,500,LV,41,40,,2018,nevada
Gravis,2018/06/23,2018/06/26,630,RV,41,45,,2018,nevada
Nevada Independent/Mellman,2018/04/12,2018/04/19,600,LV,40,39,,2018,nevada
Emerson*,2018/10/27,2018/10/29,883,LV,37,,50,2018,maine
Pan Atlantic*,2018/10/01,2018/10/07,500,LV,30,,57,2018,maine
Suffolk*,2018/08/02,2018/08/06,500,LV,25,,52,2018,maine
Emerson,2018/10/29,2018/10/31,604,LV,44,53,,2018,wisconsin
Marquette,2018/10/24,2018/10/28,1154,LV,43,54,,2018,wisconsin
Marquette,2018/10/03,2018/10/07,799,LV,43,53,,2018,wisconsin
NBC News/Marist,2018/09/30,2018/10/03,571,LV,40,54,,2018,wisconsin
Marquette,2018/09/12,2018/09/16,614,LV,42,53,,2018,wisconsin
Suffolk,2018/08/18,2018/08/24,500,LV,42,50,,2018,wisconsin
Marquette,2018/08/15,2018/08/19,601,LV,47,49,,2018,wisconsin
Emerson,2018/07/26,2018/07/28,632,RV,36,50,,2018,wisconsin
NBC News/Marist,2018/07/15,2018/07/19,906,RV,38,55,,2018,wisconsin
Marquette,2018/06/13,2018/06/17,800,RV,40,49,,2018,wisconsin
Emerson,2018/11/01,2018/11/03,732,LV,49,46,,2018,missouri
HarrisX,2018/10/29,2018/11/04,1400,LV,45,45,,2018,missouri
Trafalgar Group (R),2018/10/29,2018/11/04,1791,LV,48,44,,2018,missouri
Missouri Scout*,2018/11/01,2018/11/02,1424,LV,47,47,,2018,missouri
NBC News/Marist,2018/10/30,2018/11/01,600,LV,47,50,,2018,missouri
FOX News,2018/10/27,2018/10/30,741,LV,45,45,,2018,missouri
HarrisX,2018/10/28,2018/11/03,1400,LV,45,46,,2018,missouri
Missouri Scout*,2018/10/24,2018/10/25,1376,LV,49,45,,2018,missouri
Missouri Scout*,2018/10/17,2018/10/18,1215,LV,47,46,,2018,missouri
FOX News,2018/09/29,2018/10/02,683,LV,46,46,,2018,missouri
Missouri Scout*,2018/09/26,2018/09/27,1555,LV,48,46,,2018,missouri
CNN*,2018/09/25,2018/09/29,756,LV,44,47,,2018,missouri
Trafalgar Group (R),2018/09/11,2018/09/13,1724,LV,47,44,,2018,missouri
CBS News/YouGov,2018/09/10,2018/09/14,917,LV,45,45,,2018,missouri
FOX News,2018/09/08,2018/09/11,675,LV,45,45,,2018,missouri
NBC News/Marist,2018/08/25,2018/08/28,568,LV,47,47,,2018,missouri
Missouri Scout*,2018/08/08,2018/08/09,1785,LV,47,47,,2018,missouri
Remington Research (R),2018/07/07,2018/07/08,1034,LV,48,46,,2018,missouri
Missouri Scout*,2018/05/09,2018/05/10,898,LV,44,48,,2018,missouri
Emerson,2018/04/26,2018/04/29,600,LV,45,45,,2018,missouri
Missouri Scout*,2018/04/19,2018/04/20,1542,LV,44,48,,2018,missouri
Mason-Dixon,2018/04/04,2018/04/06,625,RV,44,45,,2018,missouri
Gravis,2018/03/05,2018/03/07,931,RV,40,42,,2018,missouri
Remington Research (R),2018/01/03,2018/01/04,1122,LV,49,45,,2018,missouri
Remington Research (R),2017/10/11,2017/10/12,965,LV,48,45,,2018,missouri
Remington Research (R),2017/08/16,2017/08/18,922,LV,50,45,,2018,missouri
Remington Research (R),2017/07/07,2017/07/08,928,LV,50,44,,2018,missouri
Trafalgar Group (R),2018/11/03,2018/11/05,2135,LV,52,43,,2018,texas
Emerson*,2018/10/28,2018/10/30,781,LV,50,47,,2018,texas
CBS 11/Dixie Strategies,2018/10/25,2018/10/26,588,LV,52,42,,2018,texas
Quinnipiac,2018/10/22,2018/10/28,1078,LV,51,46,,2018,texas
UT/Texas Tribune*,2018/10/15,2018/10/21,927,LV,51,45,,2018,texas
CNN,2018/10/09,2018/10/13,716,LV,52,45,,2018,texas
NY Times/Siena,2018/10/08,2018/10/11,800,LV,51,43,,2018,texas
Quinnipiac,2018/10/03,2018/10/09,730,LV,54,45,,2018,texas
CBS News/YouGov,2018/10/02,2018/10/05,881,LV,50,44,,2018,texas
Emerson*,2018/10/01,2018/10/05,500,LV,47,42,,2018,texas
Quinnipiac,2018/09/11,2018/09/17,807,LV,54,45,,2018,texas
CBS 11/Dixie Strategies,2018/09/06,2018/09/07,519,LV,46,42,,2018,texas
Emerson,2018/08/22,2018/08/25,550,RV,39,38,,2018,texas
NBC News/Marist,2018/08/12,2018/08/16,759,RV,49,45,,2018,texas
Quinnipiac,2018/07/26,2018/07/31,1138,RV,49,43,,2018,texas
Texas Lyceum*,2018/07/09,2018/07/26,441,LV,41,39,,2018,texas
Gravis,2018/07/03,2018/07/07,602,LV,51,42,,2018,texas
CBS News/YouGov,2018/06/19,2018/06/22,821,LV,50,40,,2018,texas
UT/Texas Tribune*,2018/06/08,2018/06/17,1200,RV,41,36,,2018,texas
Quinnipiac,2018/05/23,2018/05/29,961,RV,50,39,,2018,texas
JMC Analytics,2018/05/19,2018/05/21,575,LV,47,40,,2018,texas
Quinnipiac,2018/04/12,2018/04/17,1029,RV,47,44,,2018,texas
Mitchell Research,2018/11/05,2018/11/05,827,LV,46,49,,2018,michigan
Trafalgar Group (R),2018/11/02,2018/11/05,1817,LV,44,53,,2018,michigan
Gravis,2018/10/29,2018/10/30,764,LV,41,54,,2018,michigan
Mitchell Research,2018/11/04,2018/11/04,701,LV,46,53,,2018,michigan
Detroit News/WDIV-TV*,2018/10/25,2018/10/27,600,LV,36,53,,2018,michigan
Mitchell Research,2018/10/25,2018/10/25,400,LV,46,52,,2018,michigan
Emerson,2018/10/24,2018/10/26,822,LV,43,52,,2018,michigan
Target-Insyght,2018/10/22,2018/10/24,800,LV,43,53,,2018,michigan
EPIC-MRA,2018/10/18,2018/10/23,600,LV,42,49,,2018,michigan
MRG,2018/10/14,2018/10/18,600,LV,37,53,,2018,michigan
Mitchell Research,2018/09/30,2018/10/07,654,LV,42,51,,2018,michigan
Detroit News/WDIV-TV,2018/09/30,2018/10/02,600,LV,35,53,,2018,michigan
EPIC-MRA,2018/09/21,2018/09/25,600,LV,33,56,,2018,michigan
Mitchell Research,2018/09/12,2018/09/13,1009,LV,41,54,,2018,michigan
Target-Insyght/MIRS,2018/09/10,2018/09/14,800,LV,40,55,,2018,michigan
Detroit News/WDIV-TV,2018/09/05,2018/09/07,600,LV,33,56,,2018,michigan
Gravis,2018/08/14,2018/08/16,647,LV,35,51,,2018,michigan
Emerson,2018/07/19,2018/07/21,202,LV,29,47,,2018,michigan
NBC News/Marist,2018/07/15,2018/07/19,886,RV,37,55,,2018,michigan
Detroit News/WDIV-TV,2018/01/16,2018/01/19,600,LV,30,51,,2018,michigan
